FIPS,County,Mobility and Infrastructure Score
2180,180,100.0
2188,188,98.4754435213893
2230,230,98.00346525320396
2050,50,97.46715531857632
2013,13,96.89859060582233
2016,16,96.74303800846182
2164,164,96.12485574611712
2282,282,95.77657175735179
2070,70,95.36222311865927
2185,185,95.31960609991349
2150,150,94.51876245661852
2195,195,94.47095596094867
2275,275,93.73230631290281
15005,5,93.09431282338556
2060,60,92.83910821459531
2220,220,92.79217441684506
25019,19,90.04750448200964
46065,65,89.72012453108238
31017,17,89.6747530352109
48301,301,89.1089918248755
20193,193,88.79187987406367
20137,137,88.49337938641041
31145,145,88.46096214696274
8057,57,88.3169727322942
56043,43,88.17874090981877
19167,167,88.12408939790778
2290,290,88.03728181064116
31013,13,88.02088090328925
46013,13,88.01430343184367
48205,205,87.75453531988573
20051,51,87.72317177994228
35028,28,87.49856839732037
8053,53,87.29623150327556
46117,117,87.01780776935811
30017,17,86.97948850857925
35011,11,86.84789955355468
40025,25,86.80718055809982
46035,35,86.68068015142177
2100,100,86.47771751526534
2130,130,86.45252792676027
20153,153,86.41291218407412
53055,55,86.30738209535915
30041,41,86.14161412388887
30019,19,85.92741513350695
27149,149,85.75376038046397
31119,119,85.64826754840409
46011,11,85.58225360259311
46105,105,85.55267827507721
2110,110,85.53325605448768
40065,65,85.52152286903653
20055,55,85.40042107806083
30093,93,85.17838364243144
20071,71,85.11547882111586
30091,91,85.09718010351263
56001,1,85.03218570771007
48377,377,85.02870572154887
20057,57,84.90562985728846
38001,1,84.86824700755211
20123,123,84.83959377949398
31157,157,84.82593158020045
31185,185,84.8007289601757
13053,53,84.77122674089347
27113,113,84.75021081318226
30101,101,84.69764376210871
49019,19,84.64247685035524
38071,71,84.60497749882883
31169,169,84.5977673418205
30025,25,84.43591964618193
20151,151,84.43550025562355
8003,3,84.37741137823836
51678,678,84.33226753213508
31029,29,84.32950907370295
31149,149,84.32933873300884
38031,31,84.30487759363014
49017,17,84.29982274033097
25007,7,84.27146575502826
46005,5,84.2526528277571
20175,175,84.23947711159919
31031,31,84.18813259457876
46123,123,84.12309113669859
48441,441,84.11172005522921
2240,240,84.00902857122624
27083,83,83.94942305589456
38069,69,83.83454611041867
46107,107,83.8196933825061
20141,141,83.81138124417501
46135,135,83.78073683025427
46029,29,83.75100638105502
19027,27,83.66185663264585
20183,183,83.64824141110572
20181,181,83.58310195123588
56017,17,83.47566547853505
31069,69,83.47146075743306
19101,101,83.47122871740277
53003,3,83.43490649471904
8009,9,83.38233874954292
31071,71,83.37170122643738
38051,51,83.3658174240943
30071,71,83.33194215328584
31101,101,83.3130659312351
31175,175,83.30943173370599
20203,203,83.28322395136063
20169,169,83.27902670226835
20179,179,83.2015035210212
46129,129,83.16867979375156
48485,485,83.14942774916602
38035,35,83.1426740207983
38019,19,83.13622704774207
31057,57,83.11675396271278
46023,23,83.11128068888121
48487,487,82.96730610961805
31141,141,82.91337065371899
19013,13,82.87623358752543
20187,187,82.860843345494
38015,15,82.78718378769673
19021,21,82.70205621749774
48275,275,82.66182397985636
20067,67,82.64857971009013
35037,37,82.63074085120324
20097,97,82.53319946912075
30105,105,82.46542846447088
31079,79,82.44419553865565
29001,1,82.40549080744994
