FIPS,County,Social Capital and Community Score
8014,"Broomfield, Colorado",100.0
51510,"Alexandria, Virginia",90.0443501405742
51013,"Arlington, Virginia",85.51509262127507
13053,"Chattahoochee, Georgia",83.6909584814406
8035,"Douglas, Colorado",79.77290608681854
16065,"Madison, Idaho",74.77615977688382
24027,"Howard, Maryland",72.14448191520742
8039,"Elbert, Colorado",71.78768562467826
51179,"Stafford, Virginia",71.56795773817093
51107,"Loudoun, Virginia",69.39238095192182
51059,"Fairfax County, Virginia",69.17240005220691
51199,"York, Virginia",69.16472520704899
8059,"Jefferson, Colorado",67.2387300760884
51630,"Fredericksburg, Virginia",67.15037776284079
48085,"Collin, Texas",66.19095160218995
8093,"Park, Colorado",65.30829912207639
8013,"Boulder, Colorado",65.14719766589796
6075,"San Francisco, California",64.4713872598955
34019,"Hunterdon, New Jersey",64.1378027768382
47187,"Williamson, Tennessee",64.00288835272674
51683,"Manassas, Virginia",63.83388100697292
51153,"Prince William, Virginia",63.829393802190225
13113,"Fayette, Georgia",63.69835139554395
51043,"Clarke, Virginia",63.548378718513646
39041,"Delaware, Ohio",63.333126348481386
29165,"Platte, Missouri",63.31323311052521
37135,"Orange, North Carolina",63.22070756329601
27163,"Washington, Minnesota",63.12724347423618
6061,"Placer, California",63.079341775806206
18057,"Hamilton, Indiana",62.64126890841756
41003,"Benton, Oregon",62.35559241843931
25021,"Norfolk, Massachusetts",62.29810798488281
49011,"Davis, Utah",62.24243112357611
13117,"Forsyth, Georgia",62.109024298022334
27141,"Sherburne, Minnesota",61.88938487068051
49049,"Utah, Utah",61.42886534963581
27019,"Carver, Minnesota",61.382351763181454
33015,"Rockingham, New Hampshire",61.33341355776031
25015,"Hampshire, Massachusetts",61.312202825167404
35028,"Los Alamos, New Mexico",61.27587745499034
48121,"Denton, Texas",60.80349348734069
6081,"San Mateo, California",60.52104717217327
51061,"Fauquier, Virginia",60.304858308434085
55089,"Ozaukee, Wisconsin",60.19491048255969
27037,"Dakota, Minnesota",59.965329281938
24031,"Montgomery, Maryland",59.95601341337152
53075,"Whitman, Washington",59.78901623147155
48397,"Rockwall, Texas",59.737240576767505
17093,"Kendall, Illinois",59.56899995242464
48491,"Williamson, Texas",59.49894824664115
31153,"Sarpy, Nebraska",59.40862964284063
36109,"Tompkins, New York",59.3124816576171
17043,"DuPage, Illinois",59.23758475112491
9013,"Tolland, Connecticut",58.950678580997476
19049,"Dallas, Iowa",58.871394144795396
55133,"Waukesha, Wisconsin",58.79916474652772
51157,"Rappahannock, Virginia",58.70272703518461
24013,"Carroll, Maryland",58.6612082914974
21185,"Oldham, Kentucky",58.56393688868684
53029,"Island, Washington",58.5111218749555
24009,"Calvert, Maryland",58.49352229976782
2090,"Fairbanks North Star, Alaska",58.34400619572897
41005,"Clackamas, Oregon",58.30119379943864
46083,"Lincoln, South Dakota",58.157283279213814
8069,"Larimer, Colorado",58.0123116224638
19169,"Story, Iowa",57.955210628000806
49043,"Summit, Utah",57.83889004500702
20161,"Riley, Kansas",57.835018935359116
2170,"Matanuska-Susitna, Alaska",57.82845624700729
34035,"Somerset, New Jersey",57.734663961303475
51735,"Poquoson, Virginia",57.66737658183422
13219,"Oconee, Georgia",57.57652616218712
24021,"Frederick, Maryland",57.46481843366781
53061,"Snohomish, Washington",57.342741550962096
8005,"Arapahoe, Colorado",57.18149752574494
56001,"Albany, Wyoming",57.13556610477977
41067,"Washington, Oregon",57.10866266037009
27003,"Anoka, Minnesota",56.95758894491952
29183,"St. Charles, Missouri",56.89835813521126
48259,"Kendall, Texas",56.773492251679144
24025,"Harford, Maryland",56.75041573554744
39165,"Warren, Ohio",56.6242056384599
51085,"Hanover, Virginia",56.62226976091579
30031,"Gallatin, Montana",56.58714453966892
49029,"Morgan, Utah",56.57175835148011
24017,"Charles, Maryland",56.33568523028241
20061,"Geary, Kansas",56.2811763494767
11001,"District of Columbia, District of Columbia",56.26150860620015
51177,"Spotsylvania, Virginia",56.24372440452932
8097,"Pitkin, Colorado",56.24340358803656
46027,"Clay, South Dakota",56.11767843011667
9007,"Middlesex, Connecticut",56.112748589792574
34037,"Sussex, New Jersey",56.03746892845039
6085,"Santa Clara, California",56.036085343800934
26161,"Washtenaw, Michigan",55.92096276818187
36079,"Putnam, New York",55.90889677300569
26093,"Livingston, Michigan",55.673015184280615
27171,"Wright, Minnesota",55.664780059827144
41051,"Multnomah, Oregon",55.65667001106741
8119,"Teller, Colorado",55.61050768386797
13057,"Cherokee, Georgia",55.57649603138508
34027,"Morris, New Jersey",55.49725668235222
53033,"King, Washington",55.48508180880314
6041,"Marin, California",55.377962845032755
2020,"Anchorage, Alaska",55.302981839275546
51099,"King George, Virginia",55.28952298623234
53067,"Thurston, Washington",55.26472075039922
42091,"Montgomery, Pennsylvania",55.25923350127995
8041,"El Paso, Colorado",55.171788105539235
24003,"Anne Arundel, Maryland",55.107718790742545
39055,"Geauga, Ohio",54.96686289422934
33013,"Merrimack, New Hampshire",54.960888815765365
6017,"El Dorado, California",54.950952953231166
8031,"Denver, Colorado",54.92597583072376
13067,"Cobb, Georgia",54.91122385520821
24035,"Queen Anne's, Maryland",54.886005997066746
13223,"Paulding, Georgia",54.846982577047065
48091,"Comal, Texas",54.7381332195926
18063,"Hendricks, Indiana",54.73186410259474
27139,"Scott, Minnesota",54.684858172824455
15003,"Honolulu, Hawaii",54.66184549139608
20091,"Johnson, Kansas",54.61794559892541
25017,"Middlesex, Massachusetts",54.540092108373614
55109,"St. Croix, Wisconsin",54.5308028772564
51145,"Powhatan, Virginia",54.480590137687535
51550,"Chesapeake, Virginia",54.459104363906384
53055,"San Juan, Washington",54.29515097146521
31025,"Cass, Nebraska",54.15378933906353
6001,"Alameda, California",54.1494597972747
27103,"Nicollet, Minnesota",54.104318465975865
56039,"Teton, Wyoming",54.05246435064278
49035,"Salt Lake, Utah",54.02941547335672
53053,"Pierce, Washington",53.891256719132265
20045,"Douglas, Kansas",53.8788726594279
17111,"McHenry, Illinois",53.85602093349618
16001,"Ada, Idaho",53.838422589838906
51810,"Virginia Beach, Virginia",53.793125258447915
27059,"Isanti, Minnesota",53.726250131779786
48367,"Parker, Texas",53.65002623247166
13135,"Gwinnett, Georgia",53.64835163702336
19181,"Warren, Iowa",53.59832412947482
53011,"Clark, Washington",53.57236203280775
53035,"Kitsap, Washington",53.390164783539554
50007,"Chittenden, Vermont",53.228657219955785
39103,"Medina, Ohio",53.175149972605965
44009,"Washington, Rhode Island",53.08759618640121
13097,"Douglas, Georgia",53.05650680430275
34003,"Bergen, New Jersey",53.010722534664204
19103,"Johnson, Iowa",52.953279159074285
27025,"Chisago, Minnesota",52.95042846566352
12117,"Seminole, Florida",52.910447541020446
55131,"Washington, Wisconsin",52.90606649692666
27027,"Clay, Minnesota",52.732646118744555
42017,"Bucks, Pennsylvania",52.66125696597136
51075,"Goochland, Virginia",52.650993152716076
24037,"St. Mary's, Maryland",52.63803413744094
31143,"Polk, Nebraska",52.60431842966026
55025,"Dane, Wisconsin",52.501558132412384
48209,"Hays, Texas",52.454058196607946
51137,"Orange, Virginia",52.443983757333825
6057,"Nevada, California",52.436470377728796
2122,"Kenai Peninsula, Alaska",52.37630398298805
49005,"Cache, Utah",52.33857348701445
42029,"Chester, Pennsylvania",52.19490558173848
40017,"Canadian, Oklahoma",52.12881142868403
49045,"Tooele, Utah",52.013640582133824
18011,"Boone, Indiana",52.00512483503773
12097,"Osceola, Florida",51.91946645973344
36091,"Saratoga, New York",51.87699739575788
2110,"Juneau, Alaska",51.85056562816322
33011,"Hillsborough, New Hampshire",51.80979550507986
51095,"James City, Virginia",51.79564873518859
48187,"Guadalupe, Texas",51.791790374219005
12109,"St. Johns, Florida",51.762893091534124
27053,"Hennepin, Minnesota",51.76183711549543
26089,"Leelanau, Michigan",51.65848752593409
16057,"Latah, Idaho",51.6406515135452
31177,"Washington, Nebraska",51.60113709474125
40027,"Cleveland, Oklahoma",51.582714669055896
36061,"New York, New York",51.580911214508404
53073,"Whatcom, Washington",51.51846871432332
