par_state,par_county,kid_race,par_pctile,shrunk_xkid_brcbalance2020,county_name
1,1,Asian,-9,7066.5,Autauga
1,1,Pooled,-9,3781.689466484268,Autauga
1,1,Black,75,3776,Autauga
1,1,Hispanic,25,2009,Autauga
1,1,AIAN,25,2331,Autauga
1,1,Asian,75,5934,Autauga
1,1,Asian,25,8199,Autauga
1,1,White,-9,4076.853448275862,Autauga
1,1,White,25,2999,Autauga
1,1,Pooled,75,4713.715572715572,Autauga
1,1,Black,25,1973,Autauga
1,1,AIAN,-9,3309,Autauga
1,1,White,50,3879.5,Autauga
1,1,Pooled,50,3719.100852051217,Autauga
1,1,Hispanic,75,4559,Autauga
1,1,Asian,50,7066.5,Autauga
1,1,AIAN,50,3309,Autauga
1,1,Hispanic,-9,3284,Autauga
1,1,Black,-9,2263.806451612903,Autauga
1,1,Pooled,25,2724.486131386861,Autauga
1,1,White,75,4760,Autauga
1,1,AIAN,75,4287,Autauga
1,1,Hispanic,50,3284,Autauga
1,1,Black,50,2874.5,Autauga
1,3,White,75,5361,Baldwin
1,3,Black,75,3468,Baldwin
1,3,Pooled,25,3357.727815063386,Baldwin
1,3,Black,50,2652,Baldwin
1,3,Black,25,1836,Baldwin
1,3,Black,-9,2099.552795031056,Baldwin
1,3,AIAN,75,4126,Baldwin
1,3,Asian,75,6791,Baldwin
1,3,Asian,50,6131,Baldwin
1,3,Asian,25,5471,Baldwin
1,3,Hispanic,75,5038,Baldwin
1,3,AIAN,25,2455,Baldwin
1,3,Hispanic,25,3359,Baldwin
1,3,Pooled,75,5287.08880866426,Baldwin
1,3,White,-9,4653.155172413793,Baldwin
1,3,Pooled,50,4322.408311863823,Baldwin
1,3,Hispanic,50,4198.5,Baldwin
1,3,Asian,-9,6131,Baldwin
1,3,AIAN,50,3290.5,Baldwin
1,3,White,50,4556,Baldwin
1,3,Hispanic,-9,3907.903846153846,Baldwin
1,3,White,25,3751,Baldwin
1,3,Pooled,-9,4337.979090242113,Baldwin
1,3,AIAN,-9,3290.5,Baldwin
1,5,White,25,3709,Barbour
1,5,Asian,50,6153.5,Barbour
